status,tik_tok,stock_id,price,num,rest,flag,profit
0,1,2017-11-14 17:41:21,600017.XSHG,4.26,1000.0,95738.722,1,null
0,0,2017-11-14 17:45:01,600017.XSHG,4.27,1000.0,100003.171,1,10.0
0,1,2017-11-14 17:45:52,600017.XSHG,4.26,1000.0,95741.893,1,null
0,1,2017-11-29 13:21:48,600017.XSHG,4.26,200.0,94890.1486,0,null
0,0,2017-11-29 13:36:50,600017.XSHG,4.29,800.0,95747.0332,0,6.0
0,1,2017-11-29 13:41:25,600017.XSHG,4.26,1000.0,91488.3112,0,null
0,0,2017-11-29 13:41:45,600017.XSHG,4.29,200.0,92345.1958,0,6.0
0,0,2017-11-29 13:42:26,600017.XSHG,4.29,200.0,93202.0804,0,6.0
0,0,2017-11-29 13:42:35,600017.XSHG,4.29,200.0,94058.965,0,6.0
0,0,2017-11-29 13:49:23,600017.XSHG,4.29,200.0,94915.8496,0,6.0
0,1,2017-11-29 14:09:16,600017.XSHG,4.26,300.0,93638.233,0,null
0,1,2017-11-29 14:15:27,600017.XSHG,4.26,600.0,91082.9998,0,null
0,1,2017-11-29 14:15:36,600017.XSHG,4.26,1000.0,86824.2778,0,null
0,0,2017-11-29 17:54:51,600017.XSHG,4.27,1000.0,91088.7268,0,10.0
0,1,2017-11-29 18:19:05,600017.XSHG,4.27,1000.0,86820.0078,0,null
0,1,2017-11-29 18:21:12,600017.XSHG,4.27,1000.0,82551.2888,0,null
0,1,2017-11-29 18:31:19,600017.XSHG,4.27,[2000.0],78282.5698,0,null
0,1,2017-11-29 18:45:23,600017.XSHG,4.27,1000,74013.8508,0,null
0,1,2017-11-29 18:46:40,600017.XSHG,4.28,1000,69735.1348,0,null
0,1,2017-11-29 18:49:30,600017.XSHG,4.28,1000,65456.4188,0,null
0,1,2017-11-29 18:49:49,600017.XSHG,4.29,1000,61167.7058,0,null
0,0,2017-11-29 18:50:19,600017.XSHG,4.31,1000,65472.1028,0,20.0
0,0,2017-11-29 18:50:52,600017.XSHG,4.32,500,67629.2948,0,15.0
0,0,2017-11-29 18:50:58,600017.XSHG,4.32,500,69786.4868,1,15.0
